loja,data,temperatura,combustivel,desconto_1,desconto_2,desconto_3,desconto_4,desconto_5,desemprego,feriado,distancia_competidores,clientes
11,02-11,7.0055555555555555,3.022,,,,,,0.07551000000000001,sim,,303
9,02-11,1.1833333333333347,3.022,,,,,,0.06416000000000001,sim,,976
14,02-11,,,,,,,,0.08549,sim,,869
17,02-11,-9.894444444444446,3.034,,,,,,0.06866,sim,,955
27,02-11,-0.8611111111111115,3.416,,,,,,0.07827,sim,,84
10,02-11,10.838888888888887,3.381,,,,,,0.08744,sim,,774
12,02-11,10.722222222222221,3.381,,,,,,0.14021,sim,,659
6,02-11,4.100000000000001,3.022,,,,,,0.06858,sim,,953
37,02-11,5.088888888888887,3.022,,,,,,0.08395,sim,,453
34,02-11,,,,,,,,0.10398,sim,,387
35,02-11,,3.239,,,,,,0.08549,sim,,507
18,02-11,-4.277777777777778,3.255,,,,,,0.09131,sim,,257
24,02-11,,,,,,,,0.08252000000000001,sim,,570
42,02-11,10.838888888888887,,,,,,,0.08744,sim,,892
23,02-11,-5.822222222222223,3.255,,,,,,0.05114,sim,,934
20,02-11,-3.677777777777779,3.239,,,,,,0.07343,sim,,527
26,02-11,-9.377777777777778,3.255,,,,,,0.07907,sim,,162
41,02-11,-8.43888888888889,,,,,,,0.07241,sim,,957
25,02-11,-6.011111111111111,3.239,,,,,,0.07343,sim,,163
33,02-11,11.86111111111111,,,,,,,0.08951,sim,,832
39,02-11,4.6333333333333355,3.022,,,,,,0.08395,sim,,793
15,02-11,-5.7555555555555555,3.416,,,,,,0.07771,sim,,792
44,02-11,-0.6500000000000009,3.034,,,,,,0.07224,sim,,524
40,02-11,,,,,,,,0.05114,sim,,786
5,02-11,,3.022,,,,,,0.06634000000000001,sim,,271
19,02-11,-5.6722222222222225,,,,,,,0.07771,sim,,492
21,02-11,1.4499999999999997,3.022,,,,,,0.08028,sim,,208
8,02-11,-2.077777777777777,3.022,,,,,,0.06262,sim,,539
22,02-11,,,,,,,,0.08458,sim,,584
4,02-11,0.7166666666666662,3.033,,,,,,0.06509999999999999,sim,,60
43,02-11,4.8055555555555545,3.022,,,,,,0.10398,sim,,430
16,02-11,-9.433333333333334,,,,,,,0.06614,sim,,985
29,02-11,-1.7277777777777774,3.255,,,,,,0.10256,sim,,657
28,02-11,10.722222222222221,3.381,,,,,,0.14021,sim,,605
2,02-11,0.6611111111111099,,,,,,,0.08028,sim,,309
31,02-11,1.4499999999999997,3.022,,,,,,0.08028,sim,,520
32,02-11,,3.037,,,,,,0.08818,sim,,591
45,02-11,,,,,,,,0.08549,sim,,27
1,02-11,,3.022,,,,,,0.07742,sim,,686
13,02-11,-0.6500000000000009,3.034,,,,,,0.0747,sim,,562
3,02-11,,3.022,,,,,,0.07551000000000001,sim,,199
30,02-11,,3.022,,,,,,0.08028,sim,,387
36,02-11,5.088888888888887,,,,,,,0.08395,sim,,349
7,02-11,-12.088888888888887,3.037,,,,,,0.08818,sim,,960
38,02-11,,3.381,,,,,,0.14021,sim,,940
32,02-18,,3.051,,,,,,0.08818,nao,,693
44,02-18,4.916666666666668,3.062,,,,,,0.07224,nao,,536
41,02-18,4.105555555555556,,,,,,,0.07241,nao,,828
15,02-18,0.5888888888888901,3.42,,,,,,0.07771,nao,,378
31,02-18,15.483333333333333,3.045,,,,,,0.08028,nao,,899
24,02-18,,3.42,,,,,,0.08252000000000001,nao,,916
39,02-18,,,,,,,,0.08395,nao,,558
21,02-18,15.483333333333333,3.045,,,,,,0.08028,nao,,527
26,02-18,,3.263,,,,,,0.07907,nao,,153
33,02-18,16.683333333333334,3.43,,,,,,0.08951,nao,,734
35,02-18,4.066666666666666,3.245,,,,,,0.08549,nao,,206
45,02-18,,,,,,,,0.08549,nao,,455
20,02-18,6.083333333333335,,,,,,,0.07343,nao,,273
13,02-18,4.916666666666668,,,,,,,0.0747,nao,,894
43,02-18,,,,,,,,0.10398,nao,,236
42,02-18,16.53888888888889,,,,,,,0.08744,nao,,852
38,02-18,11.86111111111111,3.43,,,,,,0.14021,nao,,740
23,02-18,-2.999999999999999,,,,,,,0.05114,nao,,521
36,02-18,14.155555555555553,3.017,,,,,,0.08395,nao,,678
30,02-18,15.483333333333333,3.045,,,,,,0.08028,nao,,944
17,02-18,-2.855555555555556,,,,,,,0.06866,nao,,956
40,02-18,-5.655555555555555,3.263,,,,,,0.05114,nao,,831
7,02-18,-8.166666666666666,,,,,,,0.08818,nao,,726
10,02-18,,3.43,,,,,,0.08744,nao,,501
27,02-18,4.066666666666666,3.42,,,,,,0.07827,nao,,117
14,02-18,4.833333333333335,3.245,,,,,,0.08549,nao,,386
16,02-18,-2.677777777777778,3.051,,,,,,0.06614,nao,,344
9,02-18,14.722222222222221,,,,,,,0.06416000000000001,nao,,584
6,02-18,15.33888888888889,,,,,,,0.06858,nao,,395
11,02-18,16.38888888888889,3.045,,,,,,0.07551000000000001,nao,,64
22,02-18,,3.263,,,,,,0.08458,nao,,717
3,02-18,16.43333333333333,3.045,,,,,,0.07551000000000001,nao,,721
29,02-18,1.8555555555555574,3.263,,,,,,0.10256,nao,,72
37,02-18,,3.045,,,,,,0.08395,nao,,789
1,02-18,,3.045,,,,,,0.07742,nao,,274
5,02-18,14.905555555555553,3.045,,,,,,0.06634000000000001,nao,,990
2,02-18,14.349999999999998,3.045,,,,,,0.08028,nao,,320
34,02-18,7.288888888888888,,,,,,,0.10398,nao,,338
18,02-18,-0.22777777777777786,,,,,,,0.09131,nao,,366
8,02-18,,,,,,,,0.06262,nao,,495
28,02-18,,,,,,,,0.14021,nao,,607
25,02-18,3.5666666666666678,3.245,,,,,,0.07343,nao,,166
19,02-18,1.5222222222222233,3.42,,,,,,0.07771,nao,,544
4,02-18,,,,,,,,0.06509999999999999,nao,,11
12,02-18,11.86111111111111,,,,,,,0.14021,nao,,301
41,02-25,,3.101,,,,,,0.07241,nao,,729
15,02-25,-6.183333333333333,3.452,,,,,,0.07771,nao,,801
29,02-25,-0.9833333333333331,3.281,,,,,,0.10256,nao,,102
31,02-25,16.261111111111113,3.065,,,,,,0.08028,nao,,425
6,02-25,17.144444444444446,3.065,,,,,,0.06858,nao,,392
17,02-25,,3.12,,,,,,0.06866,nao,,779
4,02-25,9.444444444444445,3.087,,,,,,0.06509999999999999,nao,,214
42,02-25,,3.398,,,,,,0.08744,nao,,691
33,02-25,12.716666666666667,3.398,,,,,,0.08951,nao,,88
22,02-25,-0.9833333333333331,3.281,,,,,,0.08458,nao,,553
12,02-25,,3.53,,,,,,0.14021,nao,,401
16,02-25,-3.250000000000001,,,,,,,0.06614,nao,,588
13,02-25,,3.12,,,,,,0.0747,nao,,889
36,02-25,19.850000000000005,,,,,,,0.08395,nao,,46
26,02-25,-8.722222222222221,3.281,,,,,,0.07907,nao,,672
45,02-25,,3.274,,,,,,0.08549,nao,,463
40,02-25,-8.61111111111111,3.281,,,,,,0.05114,nao,,592
7,02-25,-8.077777777777776,3.101,,,,,,0.08818,nao,,310
32,02-25,,3.101,,,,,,0.08818,nao,,86
8,02-25,,,,,,,,0.06262,nao,,92
11,02-25,20.41111111111111,,,,,,,0.07551000000000001,nao,,660
19,02-25,-4.866666666666668,3.452,,,,,,0.07771,nao,,673
25,02-25,-2.0222222222222226,3.274,,,,,,0.07343,nao,,714
39,02-25,,,,,,,,0.08395,nao,,936
27,02-25,0.5833333333333317,3.452,,,,,,0.07827,nao,,928
2,02-25,16.0,,,,,,,0.08028,nao,,242
21,02-25,16.261111111111113,,,,,,,0.08028,nao,,865
20,02-25,,3.274,,,,,,0.07343,nao,,2
35,02-25,0.5833333333333317,,,,,,,0.08549,nao,,225
14,02-25,,,,,,,,0.08549,nao,,801
37,02-25,19.850000000000005,3.065,,,,,,0.08395,nao,,745
9,02-25,15.005555555555553,3.065,,,,,,0.06416000000000001,nao,,973
1,02-25,17.166666666666668,,,,,,,0.07742,nao,,926
43,02-25,,3.065,,,,,,0.10398,nao,,929
38,02-25,9.138888888888891,3.53,,,,,,0.14021,nao,,589
3,02-25,19.66666666666667,3.065,,,,,,0.07551000000000001,nao,,116
18,02-25,,3.281,,,,,,0.09131,nao,,666
30,02-25,16.261111111111113,,,,,,,0.08028,nao,,918
10,02-25,11.994444444444447,3.398,,,,,,0.08744,nao,,103
44,02-25,0.6500000000000009,3.12,,,,,,0.07224,nao,,194
24,02-25,-3.283333333333333,,,,,,,0.08252000000000001,nao,,166
34,02-25,,,,,,,,0.10398,nao,,871
5,02-25,,3.065,,,,,,0.06634000000000001,nao,,90
28,02-25,,3.53,,,,,,0.14021,nao,,686
23,02-25,-8.333333333333334,,,,,,,0.05114,nao,,122
20,03-04,,3.433,,,,,,0.07343,nao,,143
42,03-04,13.866666666666667,3.674,,,,,,0.08744,nao,,994
34,03-04,7.894444444444446,,,,,,,0.10398,nao,,106
26,03-04,-9.827777777777776,3.437,,,,,,0.07907,nao,,887
12,03-04,,,,,,,,0.14021,nao,,428
44,03-04,1.2388888888888872,3.23,,,,,,0.07224,nao,,305
39,03-04,17.533333333333335,,,,,,,0.08395,nao,,872
41,03-04,,,,,,,,0.07241,nao,,971
32,03-04,3.9833333333333343,,,,,,,0.08818,nao,,317
21,03-04,15.288888888888891,3.288,,,,,,0.08028,nao,,963
30,03-04,,,,,,,,0.08028,nao,,635
23,03-04,,3.437,,,,,,0.05114,nao,,902
37,03-04,18.083333333333332,,,,,,,0.08395,nao,,9
1,03-04,,3.288,,,,,,0.07742,nao,,774
38,03-04,10.955555555555556,3.674,,,,,,0.14021,nao,,73
10,03-04,,3.674,,,,,,0.08744,nao,,359
24,03-04,-0.35555555555555585,,,,,,,0.08252000000000001,nao,,223
31,03-04,,,,,,,,0.08028,nao,,416
9,03-04,,3.288,,,,,,0.06416000000000001,nao,,553
22,03-04,0.8444444444444462,3.437,,,,,,0.08458,nao,,370
17,03-04,,3.23,,,,,,0.06866,nao,,716
16,03-04,-0.12777777777777802,,,,,,,0.06614,nao,,264
29,03-04,0.8444444444444462,3.437,,,,,,0.10256,nao,,840
36,03-04,18.083333333333332,3.282,,,,,,0.08395,nao,,690
45,03-04,,3.433,,,,,,0.08549,nao,,860
8,03-04,11.766666666666667,,,,,,,0.06262,nao,,318
11,03-04,19.166666666666668,3.288,,,,,,0.07551000000000001,nao,,84
25,03-04,,3.433,,,,,,0.07343,nao,,318
15,03-04,-2.1333333333333333,3.605,,,,,,0.07771,nao,,111
35,03-04,2.7722222222222235,3.433,,,,,,0.08549,nao,,251
5,03-04,15.75,3.288,,,,,,0.06634000000000001,nao,,383
2,03-04,14.31666666666667,3.288,,,,,,0.08028,nao,,7
27,03-04,2.7722222222222235,,,,,,,0.07827,nao,,459
43,03-04,15.699999999999998,3.288,,,,,,0.10398,nao,,84
28,03-04,10.955555555555556,,,,,,,0.14021,nao,,208
13,03-04,1.2388888888888872,,,,,,,0.0747,nao,,900
40,03-04,,,,,,,,0.05114,nao,,390
14,03-04,3.6944444444444438,3.433,,,,,,0.08549,nao,,314
6,03-04,15.805555555555555,3.288,,,,,,0.06858,nao,,22
3,03-04,18.394444444444446,3.288,,,,,,0.07551000000000001,nao,,410
4,03-04,8.08888888888889,,,,,,,0.06509999999999999,nao,,895
33,03-04,15.283333333333331,,,,,,,0.08951,nao,,515
19,03-04,-1.5111111111111104,,,,,,,0.07771,nao,,127
18,03-04,,3.437,,,,,,0.09131,nao,,809
7,03-04,,,,,,,,0.08818,nao,,700
33,03-11,19.172222222222224,3.63,,,,,,0.08951,nao,,874
19,03-11,1.9944444444444462,3.752,,,,,,0.07771,nao,,14
8,03-11,,,,,,,,0.06262,nao,,971
25,03-11,2.627777777777776,,,,,,,0.07343,nao,,978
15,03-11,,,,,,,,0.07771,nao,,12
40,03-11,-0.816666666666666,3.6,,,,,,0.05114,nao,,87
21,03-11,12.605555555555554,,,,,,,0.08028,nao,,524
7,03-11,-6.277777777777778,3.372,,,,,,0.08818,nao,,909
36,03-11,15.083333333333334,,,,,,,0.08395,nao,,537
29,03-11,,3.6,,,,,,0.10256,nao,,301
11,03-11,17.383333333333333,,,,,,,0.07551000000000001,nao,,243
17,03-11,0.23333333333333428,,,,,,,0.06866,nao,,122
45,03-11,7.227777777777776,,,,,,,0.08549,nao,,147
16,03-11,-1.466666666666667,3.372,,,,,,0.06614,nao,,567
42,03-11,17.9,3.63,,,,,,0.08744,nao,,750
30,03-11,12.605555555555554,,,,,,,0.08028,nao,,356
32,03-11,2.5055555555555546,,,,,,,0.08818,nao,,685
23,03-11,-1.466666666666667,,,,,,,0.05114,nao,,904
37,03-11,15.083333333333334,3.459,,,,,,0.08395,nao,,733
18,03-11,3.555555555555555,,,,,,,0.09131,nao,,631
1,03-11,11.97777777777778,,,,,,,0.07742,nao,,309
14,03-11,7.227777777777776,3.582,,,,,,0.08549,nao,,695
38,03-11,,3.818,,,,,,0.14021,nao,,288
10,03-11,17.9,3.63,,,,,,0.08744,nao,,307
28,03-11,14.305555555555555,,,,,,,0.14021,nao,,812
24,03-11,,,,,,,,0.08252000000000001,nao,,594
31,03-11,,,,,,,,0.08028,nao,,966
35,03-11,6.466666666666667,,,,,,,0.08549,nao,,914
22,03-11,5.233333333333334,,,,,,,0.08458,nao,,723
6,03-11,14.283333333333335,3.459,,,,,,0.06858,nao,,662
43,03-11,15.68888888888889,3.459,,,,,,0.10398,nao,,549
9,03-11,12.63888888888889,3.459,,,,,,0.06416000000000001,nao,,352
5,03-11,13.18888888888889,,,,,,,0.06634000000000001,nao,,312
44,03-11,,,,,,,,0.07224,nao,,873
2,03-11,11.500000000000002,3.459,,,,,,0.08028,nao,,59
3,03-11,16.272222222222222,3.459,,,,,,0.07551000000000001,nao,,643
13,03-11,5.155555555555556,3.346,,,,,,0.0747,nao,,924
