id,loja,setor,data,vendas_semanais,feriado
140819,44,25,01-07,40.0,nao
140820,7,27,01-07,639.52,nao
140821,29,85,01-07,1359.79,nao
140822,27,52,01-07,1460.06,nao
140823,27,58,01-07,1968.0,nao
140824,13,42,01-07,6399.04,nao
140825,31,36,01-07,325.0,nao
140826,34,34,01-07,8231.5,nao
140827,17,8,01-07,21469.5,nao
140828,38,8,01-07,9462.96,nao
140829,20,85,01-07,3299.01,nao
140830,22,80,01-07,,nao
140831,10,19,01-07,,nao
140832,8,19,01-07,1713.76,nao
140833,30,5,01-07,312.8,nao
140834,23,67,01-07,8491.67,nao
140835,7,44,01-07,2642.26,nao
140836,34,93,01-07,27924.64,nao
140837,23,5,01-07,34108.04,nao
140838,40,8,01-07,32443.17,nao
140839,38,74,01-07,,nao
140840,41,93,01-07,36855.11,nao
140841,44,11,01-07,822.29,nao
140842,29,87,01-07,9209.14,nao
140843,22,1,01-07,11622.46,nao
140844,40,26,01-07,2523.26,nao
140845,38,4,01-07,11632.7,nao
140846,35,29,01-07,5803.78,nao
140847,1,7,01-07,906806.4956631954,nao
140848,12,16,01-07,1840.42,nao
140849,17,9,01-07,996152.1795486034,nao
140850,10,41,01-07,2886.28,nao
140851,26,26,01-07,2241.39,nao
140852,15,93,01-07,459.22,nao
140853,10,21,01-07,7987.07,nao
140854,13,19,01-07,3117.79,nao
140855,37,1,01-07,8109.26,nao
140856,1,18,01-07,5180.76,nao
140857,21,59,01-07,1076.59,nao
140858,26,6,01-07,3020.78,nao
140859,27,81,01-07,28492.45,nao
140860,17,58,01-07,1700.0,nao
140861,15,46,01-07,,nao
140862,16,79,01-07,6377.12,nao
140863,26,97,01-07,14629.68,nao
140864,34,98,01-07,6585.87,nao
140865,39,54,01-07,108.0,nao
140866,12,33,01-07,,nao
140867,17,55,01-07,,nao
140868,35,51,01-07,7.84,nao
140869,5,71,01-07,403.12,nao
140870,21,13,01-07,27290.87,nao
140871,34,20,01-07,,nao
140872,32,2,01-07,48188.18,nao
140873,41,30,01-07,2023.0,nao
140874,26,81,01-07,17343.36,nao
140875,13,9,01-07,19136.34,nao
140876,2,38,01-07,113047.81,nao
140877,37,92,01-07,,nao
140878,12,14,01-07,18727.17,nao
140879,26,82,01-07,11289.75,nao
140880,16,2,01-07,26893.8,nao
140881,40,12,01-07,1986.55,nao
140882,45,14,01-07,14082.8,nao
140883,17,56,01-07,43.0,nao
140884,44,14,01-07,,nao
140885,5,67,01-07,1804.46,nao
140886,30,42,01-07,56.3,nao
140887,23,71,01-07,10113.9,nao
140888,4,7,01-07,27176.08,nao
140889,23,35,01-07,2882.64,nao
140890,16,6,01-07,5774.4,nao
140891,41,45,01-07,11.94,nao
140892,17,7,01-07,9124.82,nao
140893,1,41,01-07,565.75,nao
140894,16,90,01-07,7220.72,nao
140895,21,11,01-07,11775.33,nao
140896,5,14,01-07,3543.86,nao
140897,10,9,01-07,60152.76,nao
140898,38,85,01-07,138.3,nao
140899,23,2,01-07,54922.71,nao
140900,27,79,01-07,,nao
140901,15,92,01-07,17999.25,nao
140902,17,6,01-07,3966.68,nao
140903,9,29,01-07,1974.3,nao
140904,34,33,01-07,2389.29,nao
140905,1,48,01-07,117.0,nao
140906,26,24,01-07,1446.2,nao
140907,39,44,01-07,2872.79,nao
140908,34,94,01-07,,nao
140909,12,34,01-07,19015.75,nao
140910,38,5,01-07,256.88,nao
140911,10,40,01-07,109513.44,nao
140912,21,67,01-07,,nao
140913,15,44,01-07,,nao
140914,28,7,01-07,19430.91,nao
140915,31,35,01-07,918400.7820328302,nao
140916,31,82,01-07,15255.43,nao
140917,8,6,01-07,3047.14,nao
140918,36,18,01-07,106.49,nao
140919,38,38,01-07,42940.87,nao
140920,7,55,01-07,6272.82,nao
140921,36,79,01-07,27919.3,nao
140922,13,41,01-07,1157.74,nao
140923,15,45,01-07,1.16,nao
140924,13,18,01-07,9591.97,nao
140925,43,46,01-07,7113.54,nao
140926,21,71,01-07,956988.3886353255,nao
140927,45,92,01-07,49635.33,nao
140928,45,83,01-07,1030.33,nao
140929,21,60,01-07,193.6,nao
140930,10,55,01-07,18290.68,nao
140931,28,20,01-07,4340.55,nao
140932,4,17,01-07,15818.08,nao
140933,20,83,01-07,6463.23,nao
140934,9,46,01-07,7141.19,nao
140935,15,28,01-07,623.71,nao
140936,21,12,01-07,2333.67,nao
140937,2,8,01-07,60626.1,nao
140938,12,42,01-07,4698.74,nao
140939,6,1,01-07,13951.76,nao
140940,23,3,01-07,16801.43,nao
140941,37,96,01-07,16334.0,nao
140942,30,4,01-07,15332.82,nao
140943,28,21,01-07,4747.66,nao
140944,3,40,01-07,,nao
140945,26,83,01-07,3289.9,nao
140946,22,2,01-07,45804.61,nao
140947,34,81,01-07,14540.02,nao
140948,18,1,01-07,11258.34,nao
140949,43,4,01-07,18664.6,nao
140950,10,20,01-07,,nao
140951,35,33,01-07,5336.8,nao
140952,31,26,01-07,4833.84,nao
140953,38,79,01-07,8977.05,nao
140954,28,5,01-07,26139.57,nao
140955,17,12,01-07,4538.69,nao
140956,6,2,01-07,44653.98,nao
140957,32,1,01-07,12679.88,nao
140958,22,87,01-07,13751.43,nao
140959,2,74,01-07,24484.11,nao
140960,23,33,01-07,4548.82,nao
140961,44,72,01-07,88.3,nao
140962,34,83,01-07,3202.07,nao
140963,36,59,01-07,31.55,nao
140964,20,90,01-07,,nao
140965,39,85,01-07,1337.54,nao
140966,15,42,01-07,2559.84,nao
140967,15,87,01-07,,nao
140968,7,28,01-07,77.5,nao
140969,28,19,01-07,1555.0,nao
140970,43,28,01-07,71.5,nao
140971,9,23,01-07,8066.71,nao
140972,15,49,01-07,7214.86,nao
140973,12,13,01-07,49097.59,nao
140974,39,45,01-07,2.88,nao
140975,31,83,01-07,9612.03,nao
140976,31,38,01-07,91684.3,nao
140977,9,47,01-07,961873.4626114934,nao
140978,38,34,01-07,10.0,nao
140979,26,27,01-07,1211.8,nao
140980,30,67,01-07,1046.71,nao
140981,43,8,01-07,12878.48,nao
140982,9,55,01-07,8766.38,nao
140983,2,90,01-07,97907.89,nao
140984,26,79,01-07,10567.17,nao
140985,22,90,01-07,21820.5,nao
140986,21,55,01-07,6923.88,nao
140987,26,96,01-07,9705.81,nao
140988,23,59,01-07,2709.23,nao
140989,5,72,01-07,9410.72,nao
140990,28,8,01-07,,nao
140991,44,80,01-07,4258.24,nao
140992,35,31,01-07,3041.14,nao
140993,35,28,01-07,705.91,nao
140994,37,11,01-07,1810.54,nao
140995,17,13,01-07,43714.85,nao
140996,31,33,01-07,809232.1111610938,nao
140997,2,3,01-07,874331.6651770611,nao
140998,43,59,01-07,161.71,nao
140999,41,42,01-07,3492.99,nao
141000,16,92,01-07,23437.36,nao
141001,26,22,01-07,5013.22,nao
141002,8,18,01-07,4314.77,nao
141003,28,9,01-07,11591.89,nao
141004,1,27,01-07,1562.57,nao
141005,30,32,01-07,9.83,nao
141006,15,30,01-07,2444.1,nao
141007,13,21,01-07,8048.21,nao
141008,26,98,01-07,6272.02,nao
141009,2,60,01-07,42.2,nao
141010,30,34,01-07,5.0,nao
141011,36,38,01-07,22130.61,nao
141012,26,8,01-07,,nao
141013,7,26,01-07,2079.25,nao
141014,16,80,01-07,27.86,nao
141015,26,74,01-07,9107.21,nao
141016,38,83,01-07,3311.54,nao
141017,2,26,01-07,4942.64,nao
141018,36,67,01-07,381.81,nao
141019,7,42,01-07,5425.95,nao
141020,43,3,01-07,993.5,nao
141021,21,54,01-07,162.76,nao
141022,27,82,01-07,20311.15,nao
141023,8,20,01-07,2692.57,nao
141024,23,7,01-07,,nao
141025,9,42,01-07,2405.4,nao
141026,5,6,01-07,1005.64,nao
141027,26,28,01-07,328.62,nao
141028,2,6,01-07,2969.62,nao
141029,3,20,01-07,1358.81,nao
141030,10,22,01-07,27619.1,nao
141031,42,5,01-07,896.48,nao
141032,17,10,01-07,14795.62,nao
141033,27,4,01-07,42796.26,nao
141034,12,35,01-07,2636.25,nao
141035,41,44,01-07,3770.83,nao
141036,35,41,01-07,1187.0,nao
141037,29,90,01-07,11249.03,nao
141038,21,10,01-07,9562.79,nao
141039,5,16,01-07,2051.89,nao
141040,21,58,01-07,1785.56,nao
141041,26,23,01-07,7517.95,nao
141042,8,2,01-07,767537.0590551788,nao
141043,40,25,01-07,4639.93,nao
141044,23,6,01-07,935987.0734965181,nao
141045,23,1,01-07,16715.69,nao
141046,15,90,01-07,5571.51,nao
141047,20,87,01-07,37956.32,nao
141048,40,13,01-07,22556.79,nao
141049,21,14,01-07,933474.4678792136,nao
141050,5,27,01-07,582.38,nao
141051,35,32,01-07,5280.7,nao
141052,34,80,01-07,10908.42,nao
141053,34,35,01-07,1514.75,nao
141054,17,54,01-07,152.76,nao
141055,8,7,01-07,11318.01,nao
141056,34,82,01-07,12281.77,nao
141057,12,4,01-07,28756.17,nao
141058,10,38,01-07,97824.48,nao
141059,27,74,01-07,32598.45,nao
141060,21,92,01-07,916883.753809208,nao
141061,31,81,01-07,27092.54,nao
141062,15,29,01-07,3743.5,nao
141063,17,97,01-07,10615.44,nao
141064,37,2,01-07,16253.39,nao
141065,39,55,01-07,11490.78,nao
141066,30,38,01-07,76554.06,nao
141067,9,44,01-07,1919.3,nao
141068,45,26,01-07,4135.32,nao
141069,16,91,01-07,1652.42,nao
141070,22,81,01-07,11391.74,nao
141071,37,7,01-07,373.34,nao
141072,17,52,01-07,3848.33,nao
141073,10,54,01-07,83.68,nao
141074,5,54,01-07,75.0,nao
141075,13,20,01-07,7654.78,nao
141076,45,30,01-07,2638.15,nao
141077,3,34,01-07,3280.5,nao
141078,23,38,01-07,43370.69,nao
141079,17,59,01-07,972.84,nao
141080,17,95,01-07,47126.56,nao
141081,13,58,01-07,984715.4219798783,nao
141082,34,36,01-07,403.0,nao
141083,4,2,01-07,90467.13,nao
141084,17,11,01-07,,nao
141085,13,16,01-07,,nao
141086,5,97,01-07,686.95,nao
141087,21,56,01-07,4.0,nao
141088,21,72,01-07,36198.57,nao
141089,17,5,01-07,24550.93,nao
141090,12,32,01-07,7616.23,nao
141091,38,40,01-07,844099.8874326914,nao
141092,23,34,01-07,,nao
141093,26,7,01-07,8660.67,nao
141094,21,74,01-07,15139.05,nao
141095,26,80,01-07,18299.67,nao
141096,34,79,01-07,15725.7,nao
141097,6,9,01-07,23354.94,nao
141098,7,18,01-07,756886.3382643609,nao
141099,13,40,01-07,834426.8999763577,nao
141100,26,85,01-07,1707.78,nao
141101,9,30,01-07,1039.0,nao
141102,31,37,01-07,3110.27,nao
141103,30,72,01-07,55.88,nao
141104,42,95,01-07,60141.02,nao
141105,30,6,01-07,17.22,nao
141106,3,23,01-07,6530.88,nao
141107,8,26,01-07,4519.21,nao
141108,12,30,01-07,4934.5,nao
141109,17,44,01-07,6009.83,nao
141110,26,10,01-07,,nao
141111,7,24,01-07,2108.96,nao
141112,13,7,01-07,23086.65,nao
141113,10,29,01-07,14291.5,nao
141114,23,19,01-07,1039.72,nao
141115,26,18,01-07,963327.6704375194,nao
141116,40,10,01-07,,nao
141117,38,26,01-07,4.66,nao
141118,26,34,01-07,,nao
141119,8,12,01-07,3792.76,nao
141120,39,67,01-07,,nao
141121,26,94,01-07,38808.11,nao
141122,10,48,01-07,1766.0,nao
141123,40,22,01-07,4827.99,nao
141124,23,44,01-07,7675.86,nao
141125,27,2,01-07,69731.21,nao
141126,40,29,01-07,2805.0,nao
141127,1,2,01-07,43202.29,nao
141128,41,96,01-07,1671.49,nao
141129,21,25,01-07,12248.32,nao
141130,37,98,01-07,4910.69,nao
141131,17,36,01-07,881.0,nao
141132,22,93,01-07,2373.2,nao
141133,31,91,01-07,73148.54,nao
141134,27,93,01-07,53079.09,nao
141135,5,58,01-07,240.0,nao
141136,23,50,01-07,6755.0,nao
141137,15,56,01-07,78.0,nao
141138,26,14,01-07,9723.85,nao
141139,9,36,01-07,674.0,nao
141140,15,98,01-07,53.25,nao
141141,31,25,01-07,6638.22,nao
141142,15,72,01-07,41403.47,nao
141143,40,19,01-07,,nao
141144,4,41,01-07,97.0,nao
141145,21,33,01-07,4989.38,nao
141146,6,4,01-07,35447.56,nao
141147,23,26,01-07,7810.32,nao
141148,45,28,01-07,,nao
141149,34,52,01-07,818.6,nao
141150,20,98,01-07,13797.42,nao
141151,8,16,01-07,2243.44,nao
141152,16,85,01-07,2287.74,nao
141153,38,56,01-07,22.85,nao
141154,5,56,01-07,155.8,nao
141155,7,34,01-07,3174.0,nao
141156,40,7,01-07,11359.21,nao
141157,28,13,01-07,39593.74,nao
141158,34,44,01-07,2457.6,nao
141159,23,49,01-07,21927.88,nao
141160,27,94,01-07,61268.77,nao
141161,36,42,01-07,862882.3969917153,nao
141162,23,20,01-07,8652.52,nao
141163,16,98,01-07,5.5,nao
141164,31,94,01-07,64037.98,nao
141165,34,91,01-07,34385.86,nao
141166,9,52,01-07,1462.38,nao
141167,21,32,01-07,4996.95,nao
141168,8,23,01-07,11654.04,nao
141169,3,19,01-07,3113.76,nao
141170,27,95,01-07,104244.54,nao
141171,27,1,01-07,17654.48,nao
141172,45,12,01-07,2244.7,nao
141173,22,95,01-07,,nao
141174,26,44,01-07,3021.29,nao
141175,37,94,01-07,31498.79,nao
141176,13,48,01-07,797.0,nao
141177,13,29,01-07,6069.02,nao
141178,27,98,01-07,9264.89,nao
141179,17,79,01-07,25951.65,nao
141180,22,85,01-07,2768.68,nao
141181,31,54,01-07,-13.0,nao
141182,12,38,01-07,55207.94,nao
141183,29,95,01-07,25655.41,nao
141184,15,38,01-07,67475.73,nao
141185,12,21,01-07,3662.7,nao
141186,17,28,01-07,2034.63,nao
141187,1,26,01-07,,nao
141188,17,83,01-07,668.22,nao
141189,41,36,01-07,831.0,nao
141190,30,10,01-07,153.27,nao
141191,36,46,01-07,2151.74,nao
141192,16,4,01-07,18630.24,nao
141193,39,81,01-07,18441.28,nao
141194,30,14,01-07,911995.7927508776,nao
141195,10,33,01-07,10566.11,nao
141196,1,96,01-07,19419.74,nao
141197,7,31,01-07,3521.0,nao
141198,12,25,01-07,15661.31,nao
141199,10,28,01-07,950037.2760943065,nao
141200,44,31,01-07,4.2,nao
141201,45,9,01-07,7843.77,nao
141202,12,44,01-07,5960.93,nao
141203,30,17,01-07,134.41,nao
141204,21,87,01-07,7338.14,nao
141205,7,35,01-07,363.0,nao
141206,9,25,01-07,4154.17,nao
141207,38,80,01-07,12013.8,nao
141208,41,98,01-07,7424.86,nao
141209,26,19,01-07,1063.23,nao
141210,38,52,01-07,7.51,nao
141211,4,36,01-07,1795.5,nao
141212,15,96,01-07,1364.74,nao
141213,45,90,01-07,23261.21,nao
141214,21,24,01-07,4622.88,nao
141215,43,38,01-07,74140.54,nao
141216,38,32,01-07,833436.759077772,nao
141217,31,24,01-07,2405.52,nao
141218,34,26,01-07,3876.51,nao
141219,37,6,01-07,27.76,nao
141220,35,38,01-07,899023.8502338754,nao
141221,10,14,01-07,40235.18,nao
141222,38,2,01-07,9759.53,nao
141223,21,5,01-07,12304.92,nao
141224,31,67,01-07,3620.43,nao
141225,26,13,01-07,21686.43,nao
141226,31,51,01-07,2.16,nao
141227,28,10,01-07,16951.37,nao
141228,23,17,01-07,23294.69,nao
141229,43,1,01-07,4972.06,nao
141230,27,59,01-07,6025.06,nao
141231,26,92,01-07,93628.5,nao
141232,37,4,01-07,19711.43,nao
141233,31,95,01-07,98283.57,nao
141234,34,42,01-07,,nao
141235,17,26,01-07,5423.85,nao
141236,13,13,01-07,,nao
141237,13,11,01-07,25572.82,nao
141238,15,74,01-07,17874.34,nao
141239,45,29,01-07,3956.0,nao
141240,17,27,01-07,1674.05,nao
141241,2,85,01-07,4236.2,nao
141242,28,14,01-07,16305.87,nao
141243,4,49,01-07,7318.44,nao
141244,26,46,01-07,8630.33,nao
141245,8,4,01-07,21513.51,nao
141246,43,52,01-07,37.6,nao
141247,21,34,01-07,923068.803565082,nao
141248,41,26,01-07,4056.5,nao
141249,2,30,01-07,4711.56,nao
141250,17,85,01-07,3718.72,nao
141251,15,34,01-07,8580.75,nao
141252,17,74,01-07,35660.79,nao
141253,2,71,01-07,4425.94,nao
141254,23,27,01-07,,nao
141255,30,16,01-07,1044.58,nao
141256,39,83,01-07,6006.8,nao
141257,44,13,01-07,7621.67,nao
141258,12,8,01-07,42630.11,nao
141259,31,52,01-07,553.54,nao
141260,34,87,01-07,827471.0267593318,nao
141261,5,85,01-07,944.78,nao
141262,6,6,01-07,3948.8,nao
141263,40,18,01-07,4382.09,nao
141264,38,31,01-07,48.4,nao
141265,9,33,01-07,1195.96,nao
141266,16,95,01-07,29072.02,nao
141267,30,59,01-07,,nao
141268,34,54,01-07,4.0,nao
141269,1,31,01-07,2149.06,nao
141270,20,97,01-07,24942.75,nao
141271,5,13,01-07,11119.43,nao
141272,42,94,01-07,34704.49,nao
141273,5,92,01-07,7672.09,nao
141274,34,96,01-07,13214.6,nao
141275,4,19,01-07,805781.0164368586,nao
141276,9,27,01-07,1036.5,nao
141277,23,18,01-07,6078.66,nao
141278,26,49,01-07,2162.15,nao
141279,13,34,01-07,,nao
141280,7,22,01-07,9878.81,nao
141281,39,58,01-07,1680.0,nao
141282,13,28,01-07,1702.01,nao
141283,5,28,01-07,,nao
141284,15,71,01-07,3413.48,nao
141285,13,33,01-07,,nao
141286,26,16,01-07,1801.55,nao
141287,31,92,01-07,131062.82,nao
141288,41,97,01-07,18741.61,nao
141289,12,22,01-07,9252.51,nao
141290,13,31,01-07,2722.76,nao
141291,39,51,01-07,864441.0472814369,nao
141292,4,55,01-07,20624.99,nao
141293,27,96,01-07,12850.42,nao
141294,10,32,01-07,19754.29,nao
141295,26,38,01-07,121092.97,nao
141296,1,19,01-07,955.71,nao
141297,15,97,01-07,,nao
141298,21,28,01-07,,nao
141299,34,49,01-07,4858.27,nao
141300,21,29,01-07,4166.51,nao
141301,13,32,01-07,8017.0,nao
141302,17,80,01-07,518.55,nao
141303,21,3,01-07,10656.37,nao
141304,42,3,01-07,962.5,nao
141305,37,95,01-07,47617.87,nao
141306,15,59,01-07,371.54,nao
141307,12,23,01-07,35996.63,nao
141308,38,6,01-07,39.06,nao
141309,23,23,01-07,27158.26,nao
141310,21,83,01-07,126.96,nao
141311,2,27,01-07,2110.27,nao
141312,27,60,01-07,795849.4673026082,nao
141313,43,40,01-07,19684.03,nao
141314,10,31,01-07,5108.2,nao
141315,7,33,01-07,2872.96,nao
141316,21,2,01-07,38601.01,nao
141317,17,81,01-07,18134.09,nao
141318,27,55,01-07,15259.84,nao
141319,5,90,01-07,2887.47,nao
141320,13,12,01-07,5011.41,nao
141321,31,93,01-07,59046.33,nao
141322,21,27,01-07,1867.09,nao
141323,31,29,01-07,3567.5,nao
141324,22,83,01-07,909012.5182753351,nao
141325,31,59,01-07,907953.1990456126,nao
141326,39,59,01-07,1063.79,nao
141327,7,23,01-07,19581.6,nao
141328,35,36,01-07,1897.0,nao
141329,37,5,01-07,,nao
141330,26,40,01-07,981963.5802764738,nao
141331,31,58,01-07,2165.0,nao
141332,23,46,01-07,29605.76,nao
141333,2,37,01-07,4251.09,nao
141334,26,93,01-07,28685.53,nao
141335,44,81,01-07,7102.75,nao
141336,1,74,01-07,895126.011586054,nao
141337,27,67,01-07,,nao
141338,15,36,01-07,228.0,nao
141339,31,30,01-07,2173.0,nao
141340,2,92,01-07,168985.15,nao
141341,34,46,01-07,16695.65,nao
141342,7,52,01-07,,nao
141343,2,7,01-07,22101.64,nao
141344,9,34,01-07,4770.75,nao
141345,17,33,01-07,4060.81,nao
141346,4,38,01-07,104781.09,nao
141347,23,24,01-07,6003.53,nao
141348,21,95,01-07,31318.14,nao
141349,34,47,01-07,-224.0,nao
141350,41,90,01-07,71234.88,nao
141351,10,11,01-07,41213.41,nao
141352,34,48,01-07,643.0,nao
141353,41,34,01-07,8801.5,nao
141354,30,13,01-07,12527.2,nao
141355,16,96,01-07,999925.0373564095,nao
141356,45,82,01-07,10961.75,nao
141357,17,34,01-07,6152.0,nao
141358,30,74,01-07,,nao
141359,17,32,01-07,3441.11,nao
141360,41,27,01-07,1580.52,nao
141361,45,87,01-07,6911.36,nao
141362,4,8,01-07,64561.77,nao
141363,40,21,01-07,5437.53,nao
141364,23,45,01-07,20.94,nao
141365,10,46,01-07,42630.94,nao
141366,2,5,01-07,25042.94,nao
141367,30,12,01-07,79.63,nao
141368,15,60,01-07,44.0,nao
141369,40,28,01-07,302.29,nao
141370,28,11,01-07,,nao
141371,34,28,01-07,304.23,nao
141372,4,4,01-07,56671.32,nao
141373,37,9,01-07,41.36,nao
141374,42,98,01-07,5947.33,nao
141375,38,1,01-07,948277.9465702475,nao
141376,21,85,01-07,1340.2,nao
141377,44,79,01-07,4568.85,nao
141378,15,35,01-07,1938.0,nao
141379,35,44,01-07,,nao
141380,15,58,01-07,1593.0,nao
141381,2,2,01-07,62974.44,nao
141382,13,30,01-07,3452.11,nao
141383,36,74,01-07,726.29,nao
141384,3,24,01-07,,nao
141385,34,27,01-07,1051.96,nao
141386,40,20,01-07,2246.54,nao
141387,31,60,01-07,237.6,nao
141388,38,59,01-07,23.06,nao
141389,2,35,01-07,2662.75,nao
141390,34,29,01-07,2506.91,nao
141391,26,42,01-07,2795.09,nao
141392,29,97,01-07,2171.19,nao
141393,8,13,01-07,27449.02,nao
141394,23,25,01-07,8816.76,nao
141395,27,97,01-07,19704.45,nao
141396,13,50,01-07,2639.0,nao
141397,3,41,01-07,602.08,nao
141398,12,24,01-07,8395.14,nao
141399,31,55,01-07,7225.86,nao
141400,30,11,01-07,,nao
141401,10,16,01-07,5668.63,nao
141402,10,30,01-07,9539.3,nao
141403,26,35,01-07,1515.0,nao
141404,22,94,01-07,2093.56,nao
141405,36,25,01-07,5.75,nao
141406,10,47,01-07,,nao
141407,21,1,01-07,9499.4,nao
141408,38,81,01-07,10271.83,nao
141409,5,87,01-07,,nao
141410,23,21,01-07,6340.89,nao
141411,8,22,01-07,5681.81,nao
141412,21,97,01-07,926027.475620677,nao
141413,44,17,01-07,264.44,nao
141414,17,29,01-07,3572.16,nao
141415,40,9,01-07,10261.84,nao
141416,41,49,01-07,4437.73,nao
141417,21,31,01-07,3110.41,nao
141418,17,30,01-07,1807.5,nao
141419,15,67,01-07,3920.1,nao
141420,5,52,01-07,297.63,nao
141421,28,12,01-07,2638.93,nao
141422,26,17,01-07,7055.93,nao
141423,5,91,01-07,,nao
141424,31,56,01-07,167.23,nao
141425,35,30,01-07,4010.9,nao
